Date,Receipt,Description,Amount
4/21/2022,,GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,19.99
4/16/2022,,PAYPAL *ENVATO USA E4029357733          UT,26
4/14/2022,,PAYPAL *ENVATO USA E4029357733          UT,8
4/14/2022,,PAYPAL *ENVATO USA E4029357733          UT,10
4/10/2022,,PAYPAL *ENVATO USA E4029357733          UT,21
4/9/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,10.16
4/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
4/7/2022,,JASPER.AI           AUSTIN              TX,590
4/7/2022,,PAYPAL *ENVATO USA E4029357733          UT,41
4/6/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,9.16
4/4/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98
4/4/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,9.16
4/2/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99
4/2/2022,,PAYPAL *ENVATO USA E4029357733          UT,61
4/2/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,9.16
4/2/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,21.88
4/2/2022,,YOUR CASH BACK THIS PERIOD IS,-7.87
4/1/2022,,AUTOPAY PAYMENT - THANK YOU,-693.93
4/1/2022,,PAYPAL *ENVATO USA E4029357733          UT,14
3/25/2022,,PAYPAL *ADIDASAMERI 9719909812          OR,82.57
3/10/2022,,FOREIGN TRANSACTION FEE,1.34
3/10/2022,,PAYPAL *TWEAKNEWS   728500710           NL,49.73
3/9/2022,,PAYPAL *EBAY US     8665403229          CA,107.7
3/7/2022,,FRONTIER TELEPHONE  8009218101          NY,56.98
3/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
3/7/2022,,PAYPAL *EZ PRODUCTS 4029357733          AZ,42.2
3/6/2022,,ELM STORAGE LLC     951-677-1234        CA,2.99
3/6/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30
3/2/2022,,ELM STORAGE LLC     951-677-1234        CA,287
3/2/2022,,YOUR CASH BACK THIS PERIOD IS,-6.9
3/1/2022,,AUTOPAY PAYMENT - THANK YOU,-317.37
2/28/2022,,PAYPAL *CAPBARGAIN  4029357733          CA,72.2
2/17/2022,,PAYPAL *POF.COM     8883454454          CA,38.7
2/14/2022,,PAYPAL *ALIPAYUSINC 8613917489939       CA,-141
2/10/2022,,PAYPAL *EBAY US     8665403229          CA,26.93
2/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
2/6/2022,,PAYPAL *EYEBUYDIREC 8553932891          TX,59.08
2/4/2022,,FRONTIER TELEPHONE  8009218101          NY,56.98
2/3/2022,,PAYPAL *EBAY US     8665403229          CA,16.55
2/2/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99
2/2/2022,,YOUR CASH BACK THIS PERIOD IS,-3.15
2/1/2022,,AUTOPAY PAYMENT - THANK YOU,-77.03
1/11/2022,,PAYPAL *OUTERWEARSI 4029357733          MI,36.9
1/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
1/4/2022,,ELM STORAGE LLC     951-677-1234        CA,287
1/4/2022,,FRONTIER TELEPHONE  8009218101          NY,56.98
1/3/2022,,PAYPAL *AM ADV LAB  3852024188          UT,-311
1/2/2022,,YOUR CASH BACK THIS PERIOD IS,-9.83
1/1/2022,,AUTOPAY PAYMENT - THANK YOU,-743.16
