Date,Receipt,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
07/01/2022,,GOOGLE *ADS955259303CC@GOOGLE.COM       CA,65.65,"A0LX9GW2    ADVERTISING SERVICE
GOOGLE *ADS9552593035
CC@GOOGLE.COM
CA
ADVERTISING SERVICE",GOOGLE *ADS955259303CC@GOOGLE.COM       CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221820716887484',Business Services-Advertising Services
07/01/2022,,YELPINC*855 380 9357855-380-9357        CA,428.16,"M6HA7V71    ADVERTISING
YELPINC*855 380 9357
855-380-9357
CA
ADVERTISING",YELPINC*855 380 9357855-380-9357        CA,"140 NEW MONTGOMERY ST
-","SAN FRANCISCO
CA",94105,UNITED STATES,'320221820735835723',Business Services-Advertising Services
06/26/2022,,PLUGIN REPUBLIC     BROADSTAIRS         KE,450.00,"NT_LWUNCGVT +447887743012
PLUGIN REPUBLIC
BROADSTAIRS
KE
+447887743012",PLUGIN REPUBLIC     BROADSTAIRS         KE,102 PIERREMONT AVENUE,"BROADSTAIRS
ENG",CT10,UNITED KINGDOM OF GB AND NI,'320221770607852431',Business Services-Professional Services
06/22/2022,,USS MIDWAY          SAN DIEGO           CA,16.00,"841678     000070000159186  92101
USS MIDWAY
SAN DIEGO
CA
000070000159186  92101",USS MIDWAY          SAN DIEGO           CA,910 NORTH HBR DR,"SAN DIEGO
CA",92101-5811,UNITED STATES,'320221740549756845',Other-Charities
06/17/2022,,CORPORATE FILINGS LLSHERIDAN            WY,49.00,"31099532168 888-7898466
CORPORATE FILINGS LLC 00-08029641761
SHERIDAN
WY
888-7898466",CORPORATE FILINGS LLSHERIDAN            WY,30 NORTH GOULD ST,"SHERIDAN
WY",82801-6317,UNITED STATES,'320221690445251653',Other-Miscellaneous
06/13/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30.00,"209279191   8777864767
VOIP.MS/VOIP.MS
TERREBONNE
8777864767",VOIP.MS/VOIP.MS     TERREBONNE,300-3115 DE LA PINIE,"TERREBONNE
QC",J6X 4P7,CANADA,'320221650345575542',Merchandise & Supplies-Wholesale Stores
06/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0LOCLUC    SELLER
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
SELLER",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221590216946936',Business Services-Internet Services
06/06/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98,"13440197752 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320221570180140668',Communications-Telephone Comm
06/02/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99,"8517530215317448            627082
ELM STORAGE LLC
951-677-1234
CA
17448            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320221530095652163',Transportation-Other Transportation
06/02/2022,,YOUR CASH BACK THIS PERIOD IS,-9.92,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320221550142452501',Fees & Adjustments-Fees & Adjustments
06/01/2022,,AUTOPAY PAYMENT - THANK YOU,-728.79,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320221520050556466',
05/22/2022,,JASPER.AI           AUSTIN              TX,20.00,"NT_LJV9FB9P +15125371524
JASPER.AI
AUSTIN
TX
+15125371524",JASPER.AI           AUSTIN              TX,"200 EAST 6TH ST
SUITE 310","AUSTIN
TX",78701,UNITED STATES,'320221430874826781',Other-Miscellaneous
05/17/2022,,PAYPAL *POF.COM     8883454454          CA,38.70,"10094487627 8883454454
PAYPAL *POF.COM
8883454454
CA
Description : ONLINE DATING Price : 0.00
8883454454",PAYPAL *POF.COM     8883454454          CA,.,"San Jose
CA",95131,UNITED STATES,'320221380773576821',Business Services-Internet Services
05/15/2022,,GOOGLE *STADIA       G.CO/HELPPAY#      CA,9.99,"A0LEWQ2B    SELLER
GOOGLE *STADIA
G.CO/HELPPAY#
CA
SELLER",GOOGLE *STADIA       G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221350698771162',Business Services-Internet Services
05/12/2022,,SAM'S CLUB 4822 4822MURRIETTA           CA,158.22,"21330079169 WHOLESALE CLUB
SAM'S CLUB 4822 4822
MURRIETTA
CA
WHOLESALE CLUB",SAM'S CLUB 4822 4822MURRIETTA           CA,"40500 MURRIETA HOT SPRINGS
-","MURRIETA
CA",92563-6403,UNITED STATES,'320221330658372852',Merchandise & Supplies-Wholesale Stores
05/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0LBTBGM    SELLER
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
SELLER",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221280555769660',Business Services-Internet Services
05/05/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98,"13349273682 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320221250495000004',Communications-Telephone Comm
05/05/2022,,PAYPAL *SHIPSTATION 3104825919          CA,7.89,"10093655507 3104825919
PAYPAL *SHIPSTATION STAMP
3104825919
CA
Description : GENERAL Price : 0.00
3104825919",PAYPAL *SHIPSTATION 3104825919          CA,1990 EAST GRAND AVE,"EL SEGUNDO
CA",902,UNITED STATES OF AMERICA (THE),'320221260513496719',Other-Miscellaneous
05/03/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99,"8517530212316867            627082
ELM STORAGE LLC
951-677-1234
CA
16867            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320221230453484796',Transportation-Other Transportation
05/01/2022,,YOUR CASH BACK THIS PERIOD IS,-14.99,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320221220427659919',Fees & Adjustments-Fees & Adjustments
04/30/2022,,AUTOPAY PAYMENT - THANK YOU,-1243.18,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320221200367181781',
04/28/2022,,ZOO PRINTING        EAST PALO ALTO      CA,127.73,"5867413     PRINTING AND
ZOO PRINTING
EAST PALO ALTO
CA
PRINTING AND",ZOO PRINTING        EAST PALO ALTO      CA,"1950 UNIVERSITY AVE
STE 350","PALO ALTO
CA",94303,UNITED STATES,'320221190355972933',Merchandise & Supplies-Industrial Supplies
04/27/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30.00,"209279191   8777864767
VOIP.MS/VOIP.MS
TERREBONNE
8777864767",VOIP.MS/VOIP.MS     TERREBONNE,300-3115 DE LA PINIE,"TERREBONNE
QC",J6X 4P7,CANADA,'320221180336503195',Merchandise & Supplies-Wholesale Stores
04/21/2022,,GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,19.99,"A0L5D9ZP    SELLER
GOOGLE *GOOGLE STORAGE
G.CO/HELPPAY#
CA
SELLER",GOOGLE *GOOGLE STORA G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221120200421732',Business Services-Internet Services
04/16/2022,,PAYPAL *ENVATO USA E4029357733          UT,26.00,"10092252548 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320221080126559904',Communications-Other Telecom
04/14/2022,,PAYPAL *ENVATO USA E4029357733          UT,8.00,"10092134735 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320221050073006804',Communications-Other Telecom
04/14/2022,,PAYPAL *ENVATO USA E4029357733          UT,10.00,"10092126502 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320221050071335123',Communications-Other Telecom
04/10/2022,,PAYPAL *ENVATO USA E4029357733          UT,21.00,"10091836311 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320221010986377108',Communications-Other Telecom
04/09/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,10.16,"10091756313 3102593259
PAYPAL *NAMECHEAP
3102593259
AZ
Description : ECOMMERCE SERVICES Price : 0.00
3102593259",PAYPAL *NAMECHEAP   3102593259          AZ,"4600 EAST WASHINGTON ST
SUITE 305","PHOENIX
AZ",85034,UNITED STATES,'320221000965019452',Communications-Other Telecom
04/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0L0EW1A    SELLER
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
SELLER",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320220980910691735',Business Services-Internet Services
04/07/2022,,JASPER.AI           AUSTIN              TX,590.00,"NT_LSXE2Z9I +15125371524
JASPER.AI
AUSTIN
TX
+15125371524",JASPER.AI           AUSTIN              TX,"200 EAST 6TH ST
SUITE 310","AUSTIN
TX",78701,UNITED STATES,'320220970900439905',Other-Miscellaneous
04/07/2022,,PAYPAL *ENVATO USA E4029357733          UT,41.00,"10091620022 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320220980909309254',Communications-Other Telecom
04/06/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,9.16,"10091562822 3102593259
PAYPAL *NAMECHEAP
3102593259
AZ
Description : ECOMMERCE SERVICES Price : 0.00
3102593259",PAYPAL *NAMECHEAP   3102593259          AZ,"4600 EAST WASHINGTON ST
SUITE 305","PHOENIX
AZ",85034,UNITED STATES,'320220970897061919',Communications-Other Telecom
04/04/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98,"13254352642 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320220940838237988',Communications-Telephone Comm
04/04/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,9.16,"10091400671 3102593259
PAYPAL *NAMECHEAP
3102593259
AZ
Description : ECOMMERCE SERVICES Price : 0.00
3102593259",PAYPAL *NAMECHEAP   3102593259          AZ,"4600 EAST WASHINGTON ST
SUITE 305","PHOENIX
AZ",85034,UNITED STATES,'320220950854358112',Communications-Other Telecom
04/02/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99,"8517530209316337            627082
ELM STORAGE LLC
951-677-1234
CA
16337            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320220930814635701',Transportation-Other Transportation
04/02/2022,,PAYPAL *ENVATO USA E4029357733          UT,61.00,"10091250490 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320220930811967314',Communications-Other Telecom
04/02/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,9.16,"10091249963 3102593259
PAYPAL *NAMECHEAP
3102593259
AZ
Description : ECOMMERCE SERVICES Price : 0.00
3102593259",PAYPAL *NAMECHEAP   3102593259          AZ,"4600 EAST WASHINGTON ST
SUITE 305","PHOENIX
AZ",85034,UNITED STATES,'320220930813408080',Communications-Other Telecom
04/02/2022,,PAYPAL *NAMECHEAP   3102593259          AZ,21.88,"10091254473 3102593259
PAYPAL *NAMECHEAP
3102593259
AZ
Description : ECOMMERCE SERVICES Price : 0.00
3102593259",PAYPAL *NAMECHEAP   3102593259          AZ,"4600 EAST WASHINGTON ST
SUITE 305","PHOENIX
AZ",85034,UNITED STATES,'320220930812067717',Communications-Other Telecom
04/02/2022,,YOUR CASH BACK THIS PERIOD IS,-7.87,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320220930818190255',Fees & Adjustments-Fees & Adjustments
04/01/2022,,AUTOPAY PAYMENT - THANK YOU,-693.93,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320220910753389865',
04/01/2022,,PAYPAL *ENVATO USA E4029357733          UT,14.00,"10091209579 4029357733
PAYPAL *ENVATO USA ENVATO
4029357733
UT
Description : ECOMMERCE SERVICES Price : 0.00
4029357733",PAYPAL *ENVATO USA E4029357733          UT,215 SOUTH STATE ST SOUTH,"4029357733
UT",84111,UNITED STATES OF AMERICA (THE),'320220930812886896',Communications-Other Telecom
03/25/2022,,PAYPAL *ADIDASAMERI 9719909812          OR,82.57,"10090644329 9719909812
PAYPAL *ADIDASAMERI
9719909812
OR
Description : GENERAL Price : 0.00
9719909812",PAYPAL *ADIDASAMERI 9719909812          OR,5055 NORTH GREELEY AVE,"PORTLAND
OR",97217,UNITED STATES,'320220850649231991',Merchandise & Supplies-Sporting Goods Stores
03/10/2022,,FOREIGN TRANSACTION FEE,1.34,"PAYPAL *TWEAKNEWS
$49.73
FOREIGN TRANSACTION FEE",FOREIGN TRANSACTION FEE,,,,,'820220690308156663',Fees & Adjustments-Fees & Adjustments
03/10/2022,,PAYPAL *TWEAKNEWS   728500710           NL,49.73,"10089562415 728500710
PAYPAL *TWEAKNEWS
728500710
NL
Description : INFORMATION RETRIEV Price : 0.00
728500710Foreign Spend Amount: 45.00 EURO Commission Amount:  Currency Exchange Rate: null",PAYPAL *TWEAKNEWS   728500710           NL,"STATEN BOLWERK 1
HAARLEM",,2011 MK,NETHERLANDS (THE),'320220690308156663',Business Services-Other Services
03/09/2022,,PAYPAL *EBAY US     8665403229          CA,107.70,"10089490528 8665403229
PAYPAL *EBAY US
8665403229
CA
Description : DEPARTMENT STORE Price : 0.00
8665403229",PAYPAL *EBAY US     8665403229          CA,2535 NORTH FIRST ST,"SAN JOSE
CA",95131,UNITED STATES,'320220690317664901',Merchandise & Supplies-Department Stores
03/07/2022,,FRONTIER TELEPHONE  8009218101          NY,56.98,"13170491012 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320220660261207677',Communications-Telephone Comm
03/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0KPBMDE    SELLER
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
SELLER",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320220670280736521',Business Services-Internet Services
03/07/2022,,PAYPAL *EZ PRODUCTS 4029357733          AZ,42.20,"10089342702 4029357733
PAYPAL *EZ PRODUCTS
4029357733
AZ
Description : DURABLE GOODS Price : 0.00
4029357733",PAYPAL *EZ PRODUCTS 4029357733          AZ,32449 NORTH 66TH ST,"CAVE CREEK
AZ",85331,UNITED STATES,'320220670276338198',Merchandise & Supplies-Wholesale Stores
03/06/2022,,ELM STORAGE LLC     951-677-1234        CA,2.99,"8517530206516047            627082
ELM STORAGE LLC
951-677-1234
CA
16047            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320220650242212302',Transportation-Other Transportation
03/06/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30.00,"209279191   8336864767
VOIP.MS/VOIP.MS
TERREBONNE
8336864767",VOIP.MS/VOIP.MS     TERREBONNE,300-3115 DE LA PINIE,"TERREBONNE
QC",J6X 4P7,CANADA,'320220660254785244',Merchandise & Supplies-Wholesale Stores
03/02/2022,,ELM STORAGE LLC     951-677-1234        CA,287.00,"8517530206115452            627082
ELM STORAGE LLC
951-677-1234
CA
15452            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320220610160599453',Transportation-Other Transportation
03/02/2022,,YOUR CASH BACK THIS PERIOD IS,-6.90,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320220620181277814',Fees & Adjustments-Fees & Adjustments
03/01/2022,,AUTOPAY PAYMENT - THANK YOU,-317.37,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320220600117742012',
02/28/2022,,PAYPAL *CAPBARGAIN  4029357733          CA,72.20,"10088772855 4029357733
PAYPAL *CAPBARGAIN
4029357733
CA
Description : GENERAL Price : 0.00
4029357733",PAYPAL *CAPBARGAIN  4029357733          CA,2330 SOUTH ARCHIBAL,"ONTARIO
CA",917,UNITED STATES,'320220600132424595',Merchandise & Supplies-Clothing Stores
02/17/2022,,PAYPAL *POF.COM     8883454454          CA,38.70,"10087960759 8883454454
PAYPAL *POF.COM
8883454454
CA
Description : ONLINE DATING Price : 0.00
8883454454",PAYPAL *POF.COM     8883454454          CA,.,"San Jose
CA",95131,UNITED STATES,'320220490912147144',Business Services-Internet Services
